Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10,notes_durations
bach,1685.0,"Contrapunctus 18 (XII), a 4. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018a.krn,0.2,0.948679323566603,0.9737147463207448,6
bach,1685.0,"Contrapunctus 16 (XIII), a 3. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016a.krn,0.57,0.984354615878664,0.9877222998750366,19
bach,1685.0,"Contrapunctus XII (The Art of the Fugue
)",,,,Fugue,artfugue-012.krn,1.0,0.9806006612710162,0.965227318495295,3
bach,1685.0,"Contrapunctus 1, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-001.krn,0.57,0.7185321246278162,0.7322916079383206,5
bach,1685.0,"Contrapunctus 11, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-011.krn,0.21,0.9688999311949368,0.8096287569705121,6
bach,1685.0,"Contrapunctus 5, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-005.krn,0.61,0.7432882823826983,0.7493057629670807,5
bach,1685.0,"Contrapunctus XIX (The Art of the Fugue
)",,,,Fugue,artfugue-019.krn,0.13,0.9844208631193542,0.8040283881893439,7
bach,1685.0,"Contrapunctus 9, a 4, alla Duodecima
 (The Art of the Fugue
)",,,,Fugue,artfugue-009.krn,0.03,0.8907301230843164,0.5706517372284476,5
bach,1685.0,"Contrapunctus 6, a 4, in Stile francese
 (The Art of the Fugue
)",,,,Fugue,artfugue-006.krn,0.16,0.9790937483619528,0.9635951958470704,8
bach,1685.0,"Contrapunctus 4, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-004.krn,0.13,0.714784089636481,0.7124874955871507,3
bach,1685.0,"Contrapunctus 18 (XII), a 4. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018b.krn,0.2,0.948679323566603,0.9737147463207448,6
bach,1685.0,"Contrpunctus XV (The Art of the Fugue
)",,,,Fugue,artfugue-015.krn,0.59,0.9629707869431384,0.9852680372600148,4
bach,1685.0,"Contrapunctus XIII (The Art of the Fugue
)",,,,Fugue,artfugue-013.krn,0.96,0.9569406391065368,0.9550692561519992,19
bach,1685.0,"Contrapunctus 16 (XIII), a 3. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016b.krn,0.58,0.9852089621486888,0.9875267870186772,17
bach,1685.0,"Contrapunctus 10, a 4, alla Decima
 (The Art of the Fugue
)",,,,Fugue,artfugue-010.krn,0.14,0.866848175946388,0.5022993106567477,4
bach,1685.0,"Contrapunctus 8, a 3.
 (The Art of the Fugue
)",,,,Fugue,artfugue-008.krn,1.0,0.9411185113553258,0.7157628679443322,5
bach,1685.0,"Contrapunctus 3, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-003.krn,0.17,0.8706425276697946,0.8880391898679836,4
bach,1685.0,"14 (XVII). Canon alla Decima. Contrapunto all a Terza
 (The Art of the Fugue
)",,,,Fugue,artfugue-014.krn,0.78,0.9950298122164524,0.7475681715543065,19
bach,1685.0,"Contrapunctus 2, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-002.krn,0.3,0.6112107988493185,0.6157634637487677,5
bach,1685.0,"Prelude in F Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p11.krn,0.51,0.1177680062878459,0.1152081357825466,2
bach,1685.0,"Fuga 18, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f18.krn,0.31,0.9658582717096938,0.9641384292880596,2
bach,1685.0,"Fuga 17, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f17.krn,0.52,0.8117224077018539,0.5291851933600236,6
bach,1685.0,"Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p22.krn,,,,NaN
bach,1685.0,"Prelude in G Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p15.krn,1.23,0.9823765438601176,0.9902928208516452,6
bach,1685.0,"Fuga 6, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f06.krn,1.04,0.9868426475791308,0.7354081771809755,4
bach,1685.0,"Fuga 7, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f07.krn,0.06,0.9628686587541028,0.9794908203417836,6
bach,1685.0,"Fuga 20, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f20.krn,0.56,0.9857546881625756,0.8127765499259005,5
bach,1685.0,"Fuga 2, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f02.krn,0.81,0.9878619830611248,0.6652277090607628,3
bach,1685.0,"Prelude No. 11 in F major
",,,,Prelude,wtc2p11.krn,0.71,0.9885041521141468,0.9933283869701616,12
bach,1685.0,"Prelude in B Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p23.krn,,,,NaN
bach,1685.0,"Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p22.krn,0.69,0.9675958074851846,0.9815517626101086,9
bach,1685.0,"Fuga 7, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f07.krn,0.69,0.8833437676806801,0.8602060651008094,4
bach,1685.0,"Fuga 10, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f10.krn,1.05,0.0180466790050862,0.0094166573333879,2
bach,1685.0,"Fuga 2, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f02.krn,0.42,0.9487148580113688,0.7220047938524113,3
