Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10
bach,,"Fuga 21, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f21.krn,0.3,NaN,NaN
bach,,"Fuga 3, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f03.krn,0.23,NaN,NaN
bach,,"Fuga 23, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f23.krn,0.5,NaN,NaN
bach,,"Fuga 22, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f22.krn,0.12,NaN,NaN
bach,,"Fuga 13, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f13.krn,0.74,NaN,NaN
bach,,"Fuga 4, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f04.krn,0.18,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in C Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p01.krn,NaN,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in C-sharp Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p03.krn,NaN,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in G Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p15.krn,2.17,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in E Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p10.krn,1.85,NaN,NaN
bach,,"Prelude No. 17 in F-sharp minor
",,,,Prelude,wtc2p21.krn,0.86,NaN,NaN
bach,,"Fuga 5, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f05.krn,-0.02,NaN,NaN
