Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10
vivaldi,"1678/03/04-1741/08/28
","Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","11
",Sonata,vivaldi-op01n11m01.krn,0.1,0.985856318500542,0.9943651780984457
vivaldi,"1678/03/04-1741/08/28
","Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","3
",Sonata,vivaldi-op01n03m03.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","8
",Sonata,vivaldi-op01n08m03.krn,NaN,NaN,NaN
webern,"1883-1945
","I
 (Variations for Piano
)","Sehr m&auml;&szlig;ig [eighth-dot] = ca 40
","27
",,,webern-op27n1.krn,NaN,NaN,NaN
webern,"1883-1945
","III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3-rows.krn,-0.33,0.9396610436961824,0.8251214862416241
webern,"1883-1945
","III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3.krn,-0.34,0.9505369165123265,0.828486205365892
webern,"1883-1945
","II
 (Variations for Piano
)","Sehr schnell [quarter] = ca 160
","27
",,,webern-op27n2.krn,NaN,NaN,NaN
liszt,"1811/10/22-1886/07/31/
","Ballade No. 2 in B Minor, S. 171
",,,,Ballad,ballade2.krn,0.62,0.961838082799592,0.956077733131833
bach,"1685/03/31-1750/07/28
","Contrapunctus 7, a 4. per Augment et Diminut
 (The Art of the Fugue
)",,,,Fugue,artfugue-007.krn,0.35,0.9723661264631789,0.9969074668236536
bach,"1685/03/31-1750/07/28
","Contrapunctus 18 (XII), a 4. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018a.krn,0.05,0.9754344928143981,0.9774466068794831
bach,"1685/03/31-1750/07/28
","Contrapunctus 16 (XIII), a 3. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016a.krn,0.08,0.9951815510903314,0.8245927896365177
bach,"1685/03/31-1750/07/28
","Contrapunctus XII (The Art of the Fugue
)",,,,Fugue,artfugue-012.krn,0.07,0.9954970574757374,0.9759315454784286
bach,"1685/03/31-1750/07/28
","Contrapunctus 1, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-001.krn,0.61,0.9721788979097223,0.9842398471514042
bach,"1685/03/31-1750/07/28
","Contrapunctus 11, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-011.krn,0.05,0.9676785243313757,0.8174755288546759
