piece_id,gamma,g_obs,shuff_g_mean,shuff_g_var,shuff_g_std,Z_g
15,5,0.015047335599099432,7.040523506240441e-05,1.2868727413714735e-05,0.0035873008535268875,4.174985866968008
15,6,0.016622509921767392,8.244251447593553e-05,1.398530130839739e-05,0.00373969267566165,4.422841351359195
15,7,0.021008505099559316,-0.0003204272774767813,1.9813152116401996e-05,0.004451196706100731,4.791729906657022
15,8,0.002864270179068984,-0.00046250789980817884,2.569792450519551e-05,0.005069312034704069,0.656258296215015
15,9,0.008708687931977988,-0.0003764904849174507,4.1028659599063785e-05,0.00640536178518152,1.4183708464233102
15,10,0.004409909369758935,-0.0004210543714613106,8.466239488460624e-05,0.009201217032795512,0.5250352995697682
16,1,0.4170809354307672,7.335378958065612e-05,4.9049240229042155e-05,0.007003516276060344,59.54260191649956
16,2,0.00911168804699336,-0.00015159667081574384,5.80389030199267e-05,0.0076183267861077405,1.2159211566903374
16,3,0.023004533998957077,-0.00019125467767229157,7.111460309314623e-05,0.008432947473638517,2.750614627820184
16,4,0.01471661105661104,-0.0016281912348634915,9.240391881183249e-05,0.009612695709936546,1.7003349304585886
16,5,0.015616724471370524,-0.0002695229584013947,0.00018196268253020033,0.013489354414878436,1.1776877485144706
16,6,0.008727596836365259,0.0016783793325969608,0.00034802270030816223,0.018655366528378965,0.3778653983048186
16,7,0.004912838874913894,-0.0012208158211750334,0.0008223154528364565,0.028676043186542603,0.21389473632008596
16,8,0.013340645336757162,6.177675434490474e-05,0.001630466852210842,0.040379039763357945,0.32885548195879083
16,9,0.01182590918182247,-0.005987970602156617,0.0041723455153838155,0.06459369563187893,0.27578356695211914
16,10,0.008492135999272232,-0.017254331701550735,0.011933966952141007,0.10924269747741039,0.23568136173264045
17,1,0.36660441045960834,-0.00010159053845747741,1.5597642241525444e-05,0.0039493850459945586,92.8514178099643
17,2,0.11006478523187335,8.35012111706875e-05,2.2796490747802025e-05,0.004774567074385072,23.034818090783112
17,3,0.016148352152004053,-0.0007621013804547749,3.562491066712073e-05,0.005968660709666845,2.833207373485086
17,4,0.035150478323811574,0.00025780599335951964,7.001807312448807e-05,0.00836768027140665,4.169933744921448
17,5,0.012666386302513266,-0.0012823507519588995,0.00012793959491633658,0.011311038631192831,1.2331968362308714
17,6,-0.001848448581398321,0.00021332284860095603,0.0002923147640233347,0.017097215095545085,-0.12059106810538402
17,7,0.0013818681512606235,0.0016225348197289103,0.0006886564036463013,0.02624226369134914,-0.009170956869381033
17,8,0.008352088420033543,-0.004606068105440029,0.001531199448964866,0.03913054368348166,0.33115196738101177
17,9,0.0036344916629148516,-0.004265921188620041,0.0036695863133892823,0.060577110474083214,0.13041911028283426
17,10,-0.004539338857143083,-0.01634559010841542,0.009417021683392325,0.0970413400741783,0.12166207971002513
18,1,0.2671566748415656,-2.6633074547955568e-05,6.421166313890345e-06,0.0025340020350998822,105.43926335307069
18,2,0.03925711133841392,5.467405966836554e-05,7.616648550352315e-06,0.0027598276305509217,14.204668742634443
18,3,0.0129379645072899,-8.956296131941563e-05,6.902198359764029e-06,0.002627203524617769,4.958705081862543
18,4,0.022948265203276308,-9.185735429110941e-05,9.83534123100637e-06,0.0031361347597012425,7.346662156750653
18,5,0.015240574498713633,-1.2113303778252814e-05,1.0156004516186496e-05,0.0031868486810933613,4.786134934169172
18,6,0.010262883211594853,-6.637038667584361e-05,1.1904838007248477e-05,0.0034503388249921886,2.99369253925202
18,7,0.014390454068277658,-0.000150979950777251,1.645442714703068e-05,0.004056405693102044,3.5848076152202313
18,8,0.01493772453193809,9.152859391722205e-05,2.118194256181977e-05,0.004602384443070762,3.2257618027483432
