b,PPn,RRn,TTn,PR,RT,PT,TPn
443,812,810,812,126,346,472,1284
444,814,812,812,124,346,470,1284
445,816,816,818,124,348,472,1288
446,810,810,808,124,346,470,1280
447,812,814,812,126,344,470,1282
448,810,810,810,126,344,470,1280
449,808,806,808,124,346,470,1278
450,798,800,800,126,346,472,1270
451,796,794,794,124,346,470,1266
452,786,788,786,126,344,470,1256
453,774,774,776,126,346,472,1246
454,772,770,766,124,342,466,1238
455,756,760,758,128,340,468,1224
456,747,749,748,126,340,466,1214
457,742.5,744.5,743,126,340,466,1209
458,739.25,740.25,740.5,128,338,466,1206.5
459,738.625,738.125,738.25,128,340,468,1205.25
460,740.312,740.062,740.125,126,340,466,1206.625
461,744.156,745.031,744.062,126,340,466,1210.312
462,752.078,751.516,752.031,128,338,466,1218.156
463,760,758,760,126,340,466,1226
464,766,766,766,126,340,466,1232
465,774,776,776,128,340,468,1242
466,784,782,786,126,344,470,1254
467,792,792,792,126,344,470,1262
468,796,794,794,124,344,468,1264
469,800,802,804,126,346,472,1272
470,810,810,806,126,342,468,1278
471,814,814,816,126,344,470,1284
472,822,818,822,125,348,470,1292
473,816,818,816,124,346,470,1286
474,822,824,822,126,344,470,1292
475,822,820,824,124,348,472,1294
476,822,826,824,128,346,474,1296
477,824,822,822,126,346,472,1296
478,816,816,818,126,348,474,1290
479,822,824,820,128,344,472,1294
480,822,820,822,126,346,472,1294
481,820,820,820,126,346,472,1292
482,812,812,814,126,348,474,1286
483,818,818,814,126,344,470,1288
484,812,812,814,126,346,472,1284
485,814,814,812,126,344,470,1284
486,806,804,806,124,346,470,1276
487,806,808,806,126,344,470,1276
488,806,808,808,128,344,472,1278
489,812,812,812,128,344,472,1284
490,814,812,814,126,346,472,1286
491,814,812,812,124,346,470,1284
492,822,824,822,126,344,470,1292
493,822,824,824,128,344,472,1294
494,826,822,824,124,346,470,1296
495,820,822,822,126,346,472,1292
496,822,820,820,124,346,470,1292
497,818,820,818,126,344,470,1288
498,820,818,818,124,344,468,1288
499,820,822,822,126,344,470,1290
500,814,814,816,126,346,472,1286
501,816,814,812,124,344,468,1284
502,810,810,812,124,346,470,1280
503,810,812,812,126,346,472,1282
