b,PPn,RRn,TTn,PR,RT,PT,TPn
6701,626,624,632,126,334,460,1086
6702,624,628,630,130,336,466,1090
6703,646,640,638,124,334,458,1104
6704,642,648,658,130,344,474,1116
6705,650,648,646,128,342,470,1120
6706,612,646,650,128,346,469,1120
6707,678,644,638,128,340,468,1146
6708,638,638,634,128,336,464,1102
6709,638,636,640,126,340,466,1104
6710,596,634,636,125,342,463,1102
6711,676,636,630,124,336,460,1136
6712,594,630,634,126,340,461,1094
6713,660,628,622,128,334,462,1122
6714,596,630,626,146,330,479,1088
6715,628,630,632,136,332,469.5,1124
6716,674,636,638,126,334,460,1134
6717,598,640,640,146,334,480,1100
6718,640,638,638,156,334,487,1140
6719,638,638,632,139,328,469.5,1132
6720,686,642,644,122,330,452,1138
6721,644,648,646,126,328,454,1098
6722,642,646,648,130,330,460,1102
6723,606,650,650,150,330,479,1110
6724,644,640,638,139,328,466.5,1142
6725,686,644,642,128,326,454,1140
6726,646,644,644,126,326,452,1098
6727,642,640,644,124,330,454,1096
6728,644,646,638,126,322,448,1092
6729,648,644,646,122,324,446,1094
6730,600,640,636,147,320,482,1082
6731,632,642,640,135.5,318,464,1122
6732,698,650,654,124,322,446,1144
6733,658,656,656,122,322,444,1102
6734,652,656,664,126,330,456,1108
6735,668,666,660,124,324,448,1116
6736,598,650,654,149,328,468,1102
6737,648,646,632,161.5,314,478,1136
6738,640,640,640,163.75,314,484,1128
6739,638,630,640,164.875,324,487,1128
6740,628,628,628,146.438,324,470.5,1118
6741,658,620,622,128,326,454,1112
6742,614,614,610,128,322,450,1064
6743,582,608,606,145,320,474,1056
6744,594,602,606,151.5,324,473,1080
6745,610,606,596,141.75,314,472,1082
6746,632,606,606,132,314,446,1078
6747,636,634,638,130,318,448,1084
6748,654,648,656,124,326,450,1104
6749,642,644,644,126,326,452,1094
6750,670,662,672,146,336,454,1124
6751,598,646,646,159,336,482,1100
6752,644,650,652,161.5,338,489,1154
6753,650,642,636,165.75,332,494.5,1146
6754,638,644,642,142.875,330,472.25,1138
6755,696,646,646,120,330,450,1146
6756,644,646,648,122,332,454,1098
6757,648,646,650,120,336,456,1104
6758,588,626,628,140,338,475,1084
6759,630,632,628,155,334,489.5,1124
6760,622,632,632,139.5,334,471.75,1126
6761,676,630,626,124,330,454,1130
6762,630,630,628,124,328,452,1082
6763,630,632,634,126,330,456,1086
6764,632,632,634,126,332,458,1090
6765,598,638,632,149,326,476,1090
6766,636,642,638,137.5,322,464,1130
6767,692,646,650,126,326,452,1144
6768,654,652,654,124,328,452,1106
6769,606,656,652,149,324,476,1104
6770,646,646,648,163.5,326,490,1146
6771,642,646,646,168.75,326,496,1146
6772,650,646,648,146.375,328,476,1152
6773,692,642,646,124,332,456,1148
6774,592,634,624,125,322,449,1080
6775,680,640,634,126,316,442,1122
6776,650,644,644,120,316,436,1086
6777,652,656,654,124,314,438,1090
6778,606,658,662,150,318,466,1100
6779,656,656,656,136,318,454,1150
6780,724,670,672,122,320,442,1166
6781,620,676,676,147,320,468,1118
6782,684,678,680,135.5,322,457,1178
6783,722,674,674,124,322,446,1168
6784,668,666,668,122,324,446,1114
6785,638,642,642,126,324,450,1088
6786,652,648,644,122,320,442,1094
6787,626,634,632,130,318,448,1074
6788,630,630,630,130,318,448,1078
6789,638,634,628,126,312,438,1076
6790,642,642,644,126,314,440,1082
6791,648,648,646,126,312,438,1086
6792,642,650,652,134,314,448,1090
6793,628,666,672,134,320,452,1120
6794,748,710,712,134,322,456,1204
6795,732,714,718,159,326,442,1174
6796,678,746,748,154.5,328,459,1190
6797,760,726,724,175.25,326,476,1236
6798,670,716,722,174.625,332,495,1198
6799,718,696,704,179.312,340,501.5,1232
6800,678,688,672,178.656,324,507.75,1186
6801,676,670,682,151.328,336,477.875,1190
6802,706,652,640,124,324,448,1154
6803,586,638,632,137,318,454,1080
6804,656,630,622,135.5,310,460,1116
6805,644,628,638,134,320,454,1098
6806,582,622,614,155,312,472,1068
6807,618,620,622,143.5,314,463,1108
6808,658,614,622,132,322,454,1112
6809,574,606,594,134,310,474,1048
6810,630,602,606,136,314,450,1080
6811,606,606,604,136,312,448,1054
6812,612,608,612,132,316,448,1060
6813,614,624,626,142,318,460,1074
6814,658,642,646,126,322,448,1106
6815,668,676,674,134,320,454,1122
6816,750,752,758,136,326,462,1212
6817,802,884,890,151,332,482,1352
6818,918,866,870,203.5,336,538,1420
6819,792,882,884,159.75,338,499,1386
6820,815,900,906,167.875,344,460,1372
6821,838,898,898,182.938,344,499,1358
6822,840,862,858,151.469,340,477.5,1378
6823,882,804,800,120,336,456,1338
6824,778,780,780,122,336,458,1236
6825,732,744,738,134,330,464,1196
6826,718,708,700,124,322,446,1164
6827,726,718,726,127,330,446,1172
6828,692,706,702,130,326,456,1148
6829,704,700,702,126,328,454,1158
6830,644,696,698,126,330,455,1152
6831,740,688,688,126,330,456,1196
6832,688,688,684,126,326,452,1140
6833,618,676,672,128,322,453,1124
6834,730,676,678,130,324,454,1184
6835,686,682,680,126,322,448,1134
6836,680,682,684,128,324,452,1132
6837,642,704,702,129,322,453,1154
6838,760,700,702,130,324,454,1214
6839,760,748,752,129,328,446,1206
6840,726,736,732,128,324,452,1178
6841,754,758,760,132,326,458,1212
6842,716,718,712,134,320,454,1170
6843,740,732,738,126,326,452,1192
6844,726,728,726,128,324,452,1178
6845,718,720,720,130,324,454,1172
6846,700,704,698,134,318,452,1152
6847,676,690,690,157,318,466,1142
6848,656,688,688,144.5,318,460,1154
6849,746,698,702,132,322,454,1200
6850,680,682,682,134,322,456,1136
6851,676,678,676,136,320,456,1132
6852,678,672,670,130,318,448,1126
6853,666,664,664,128,318,446,1112
6854,668,672,668,132,314,446,1114
6855,680,686,686,138,314,452,1132
6856,704,696,700,130,318,448,1152
6857,728,728,730,130,320,450,1178
6858,724,722,724,128,322,450,1174
6859,754,754,756,128,324,452,1206
6860,760,758,760,126,326,452,1212
6861,762,762,760,126,324,450,1212
6862,770,772,772,128,324,452,1222
6863,776,776,776,128,324,452,1228
6864,774,774,774,128,324,452,1226
6865,790,788,792,126,328,454,1244
6866,800,802,798,128,324,452,1252
6867,796,798,800,130,326,456,1252
6868,836,832,836,126,330,456,1292
6869,870,872,872,128,330,458,1328
6870,880,874,876,122,332,454,1334
6871,832,838,834,128,328,456,1288
6872,828,828,828,128,328,456,1284
6873,836,832,834,124,330,454,1290
6874,842,844,844,126,330,456,1298
6875,846,846,846,126,330,456,1302
