b,PPn,RRn,TTn,PR,RT,PT,TPn
219,966.264,976.129,972.309,164.5,353.819,539,1494.22
220,969.132,974.064,974.655,174.25,354.41,534,1502.61
221,971.066,970.032,970.827,175.625,355.205,539,1504.305
222,966.033,966.016,968.914,176.812,358.102,533,1502.152
223,963.517,963.508,964.957,177.406,359.551,539,1501.076
224,981.758,964.754,965.478,160.703,360.276,539,1503.038
225,974.379,965.877,966.239,144,360.638,522,1487.519
226,970.19,966.439,966.62,144,360.819,514,1479.76
227,974.095,974.719,972.31,145,358.409,510,1481.88
228,967.547,981.86,983.155,150,359.705,524.5,1490.94
229,997.774,990.93,991.577,150,360.352,539,1514.97
230,1028,995.465,992.789,150,357.676,522,1509.985
231,1025,1008.732,1013.394,150,362.338,519.5,1524.492
232,1035,1023.866,1026.197,150,364.669,515.25,1540.246
233,1045,1031.433,1029.599,144,362.835,510.625,1542.123
234,1038,1040.717,1039.799,145,361.917,510.812,1549.062
235,1045,1050,1050,150,361.959,508.406,1558.031
236,1061,1055,1056,144,364.479,512.703,1559.515
237,1044,1050,1055,150,365.74,525.852,1571.758
238,1045,1067,1067,150,365.87,539,1588.379
239,1089,1067,1066,150,365.935,525,1605
240,1055,1050,1050,145,366.467,565.5,1589
241,1099.5,1061,1062,147.5,366.734,541.25,1625
242,1144,1055,1055,150,363.867,526.125,1661
243,1034,1049.5,1052.5,150,365.433,532.562,1611
244,1045,1044,1050,147,366.217,539,1589
245,1056,1030.5,1033,144,366.108,541.5,1558
246,1028,1015.25,1016.5,161,366.054,544,1551
247,1014,1007.625,1005.75,169.5,363.527,544,1545
248,1021,1003.812,1008.375,159.75,367.764,539,1547.5
249,1028,998.906,990.188,150,358.882,536,1520.75
250,1033.5,1002.453,1003.594,150,359.941,533,1535.375
251,1039,1009.227,1009.797,150,360.47,524.5,1531.188
252,1025,1007.613,1007.898,155,360.735,517.75,1526.594
253,1026.5,1014.807,1017.949,150,363.868,514.375,1532.797
254,1028,1018.403,1019.975,144,365.434,526.688,1532.898
255,1036.5,1020.702,1015.487,147,360.217,539,1541.449
256,1045,1021.351,1021.744,150,360.608,525,1537.225
257,1017,1021.675,1021.872,150,360.804,534.5,1535.112
258,1019.5,1016.338,1019.436,161,363.902,544,1548.056
259,1023.75,1011.169,1015.218,155.5,367.951,539,1549.028
260,1028,1000.084,996.609,150,364.476,525,1524.514
261,1008,994.042,995.304,150,365.738,521,1514.757
262,982,991.521,997.652,150,371.869,541,1515.879
263,1007.5,993.261,987.826,147.5,366.434,561,1527.439
264,1033,988.13,982.913,145,361.217,533.5,1505.72
265,997,988.565,988.457,150,361.109,536.25,1502.86
266,1001.4,988.783,991.728,155.6,364.054,539,1518.43
267,1003.3,991.391,992.864,161.2,365.527,528.2,1520.315
268,999.15,990.196,993.432,150,368.764,522.1,1515.657
269,991.075,987.098,985.716,144,367.382,516.55,1504.829
270,990.038,987.549,987.358,145,367.191,513.775,1502.414
271,984.019,982.774,979.679,144,364.095,509.388,1492.707
272,975.009,977.387,978.84,144,365.548,513.194,1487.854
273,957.005,972.194,969.92,150,363.274,526.097,1482.927
274,981.502,972.097,857.46,147,248.637,539,1383.463
275,975.751,975.048,1034.23,144,307.818,529,1436.232
276,988.876,985.024,1211,152,336.909,520,1474.616
277,985.938,986.512,1100,145,351.955,518.5,1487.308
278,973.969,990.756,1050,150,361.977,536.75,1502.154
279,992.484,997.878,1025,163.5,364.489,555,1528.577
280,1012.742,1001.939,1015.5,156.75,365.744,544,1539.288
281,1033,1003.97,1010.25,150,365.872,530,1530.644
282,1027.5,1009.985,1013.625,150,366.436,520.5,1531.822
283,1008.25,1015.992,1017.812,144,366.718,532.25,1532.411
284,1029.125,1016.496,1017.406,144,366.859,544,1546.706
285,1050,1019.248,1022.703,144,369.93,530.5,1542.853
286,1019.5,1023.624,1022.352,144,368.465,540.25,1540.926
287,1037.25,1022.812,1025.176,147,370.732,550,1559.463
288,1055,1025.406,1023.588,150,368.866,533.5,1552.232
289,1028,1021.203,1019.794,150,367.433,522.25,1542.616
290,1031,1030.102,1026.897,145,364.217,516.625,1543.808
291,1034,1034.551,1038.448,150,368.108,519.312,1552.404
292,1039,1028.275,1050,150,370.054,518.156,1548.202
293,1036.5,1033.638,1041.5,145,368.027,517.078,1549.101
294,1034,1033.319,1037.75,150,367.514,517.039,1549.55
295,1033,1025.159,1026.875,150,366.757,514.02,1541.275
296,1027.5,1026.08,1030.438,145,369.878,518.51,1543.138
297,1013.75,1027.04,1026.219,150,368.439,531.755,1544.069
298,1034.875,1027.52,1029.609,150,370.22,545,1561.034
299,1056,1027.76,1025.805,150,368.11,528,1552.517
300,1033,1030.38,1032.402,145,370.055,522,1551.259
301,1034,1029.19,1030.201,144,371.027,519.5,1547.629
302,1025.5,1025.595,1026.101,145,371.514,520.75,1543.315
303,1029.25,1029.297,1024.55,150,366.757,516.375,1544.157
304,1033,1028.649,1028.775,150,366.878,516.688,1544.579
305,1028,1025.324,1025.388,150,366.939,513.844,1541.789
306,1028,1029.662,1026.694,144,363.97,512.422,1540.395
307,1028,1028.831,1029.847,150,364.985,514.211,1542.197
308,1028,1025.416,1025.923,150,365.492,512.605,1540.099
309,1025.5,1023.708,1024.462,145,366.246,511.803,1537.049
310,1026.25,1025.854,1028.731,144,369.123,514.401,1540.525
311,1021.625,1020.927,1022.865,145,371.062,515.701,1537.262
312,1019.312,1021.963,1016.933,144,366.031,513.35,1532.631
313,1009.656,1024.482,1024.966,150,366.515,528.675,1538.316
314,1026.828,1018.241,1017.983,147.5,366.258,544,1546.658
315,1044,1014.62,1014.492,145,366.129,527.5,1534.329
316,1014,1015.31,1021.246,145,372.064,541.25,1536.664
317,1029,1016.155,1013.623,147.5,369.532,555,1548.832
318,1044,1011.078,1012.311,150,370.766,552.5,1538.416
319,1041.5,1011.039,1017.156,150,376.883,550,1555.208
320,1039,1008.019,1003.078,150,371.942,533,1538.604
321,1022.5,1007.01,1004.039,150,368.971,524.5,1530.302
322,1000.25,1006.005,1008.019,150,370.985,537.25,1529.151
323,1013.625,1003.002,1004.01,150,371.993,550,1539.576
324,1012.312,1004.501,1004.505,150,371.996,533.5,1533.788
325,1006.156,1004.751,1002.252,145,369.498,525.25,1525.394
326,1006.078,1002.375,1004.126,150,371.249,521.125,1524.197
327,1003.039,1001.188,999.063,144,369.125,516.062,1517.598
328,1001.52,1003.594,999.532,144,365.062,513.531,1514.299
329,1000.76,1001.797,1002.766,150,366.031,515.266,1515.65
330,1000.38,997.898,998.383,150,366.516,513.133,1513.325
331,983.69,998.949,1002.191,144,369.758,531.566,1515.162
332,994.345,1005.475,1001.096,164,365.379,550,1532.581
333,1016.672,1005.237,1008.548,157,368.689,545,1546.791
334,1039,1005.619,1004.274,150,367.345,528,1534.395
335,1025,1013.809,1010.637,145,364.172,522.5,1531.198
336,1024,1015.405,1016.318,156,365.086,519.25,1535.099
337,1020,1013.202,1016.659,150,368.543,518.125,1534.049
338,1013,1012.101,1013.83,145,370.272,520.062,1531.025
339,1001,1014.051,1012.415,150,368.636,532.031,1532.012
340,1020,1010.025,1014.707,147,373.318,544,1546.506
341,1039,1008.013,1004.354,144,369.659,527.5,1531.253
342,1003,1004.006,1002.177,145,367.829,535.75,1521.127
343,1018,1004.503,1001.088,147.5,364.415,544,1532.563
344,1033,999.752,1000.544,150,365.207,527.5,1521.782
345,1000,999.876,997.772,145,363.104,533.25,1513.891
346,1014,999.938,998.886,147.5,362.052,539,1526.445
347,1028,999.969,1001.943,150,364.026,527.5,1521.223
348,1014,996.984,1000.972,150,368.013,521.75,1518.611
349,1009.5,1003.992,1003.486,144,367.506,519.375,1520.306
350,1010.25,1007.496,1007.243,150,367.253,518.188,1524.153
351,1005.125,1003.748,1003.621,150,367.127,517.594,1520.576
352,1008.062,1007.374,1007.311,150,367.063,517.297,1524.288
353,1009.531,1006.687,1006.655,150,367.032,514.648,1523.644
354,1004.766,1005.844,1008.828,145,370.016,518.824,1523.322
355,991.383,1005.922,1004.414,150,368.508,531.912,1523.161
356,993.191,1002.961,1002.207,166.5,367.754,545,1534.081
357,1004.596,992.98,989.603,158.25,364.377,550,1530.54
358,991.298,985.49,989.302,150,368.188,536,1515.27
359,968.149,978.745,978.151,150,367.594,540,1502.135
360,986.574,975.873,975.075,147.5,366.797,544,1509.068
361,968.287,979.436,976.538,145,363.899,541.5,1499.034
362,987.144,975.718,979.769,144.5,367.949,539,1510.517
363,979.572,976.859,976.384,144,367.475,528,1499.758
364,978.786,977.43,976.692,150,366.737,522,1496.879
365,972.393,971.715,968.846,150,363.869,516.5,1486.94
366,972.696,969.357,967.923,150,362.434,510.75,1482.47
367,969.348,968.179,967.462,144,361.717,508.375,1477.235
368,968.174,970.089,969.731,145,361.359,509.688,1477.617
369,975.587,976.545,973.865,150,358.679,507.844,1483.309
370,979.794,977.272,978.433,150,359.84,506.422,1486.154
371,981.397,983.136,983.716,144,360.42,508.711,1490.077
372,987.698,986.068,986.358,150,360.71,507.355,1495.039
373,996.849,998.534,998.679,145,360.855,509.178,1506.019
374,987.425,1001.767,1002.34,150,361.427,524.089,1511.51
375,1010.212,1003.884,1003.67,150,361.214,539,1527.755
376,1033,1010.442,1010.335,150,361.107,539,1527.877
377,1038.5,1013.221,1013.167,150,361.053,539,1541.439
378,1044,1015.11,1020.584,150,366.527,544.5,1540.219
379,1036,1024.055,1021.292,166.5,363.763,550,1556.11
380,1028,1023.528,1022.146,158.25,362.382,544,1561.555
381,1056,1022.764,1024.573,150,364.191,530,1549.777
382,1042,1025.382,1026.286,150,365.095,523,1546.889
383,1028,1029.191,1027.143,150,363.048,517,1545.444
384,1033,1023.095,1022.072,150,362.024,514,1536.722
385,1030,1025.048,1024.536,150,361.512,512.5,1537.361
386,1029,1026.524,1026.268,150,361.256,511.75,1538.181
387,1028,1021.762,1021.634,150,361.128,508.875,1533.09
388,1022.5,1018.881,1021.817,145,364.064,509.938,1530.545
389,1019.75,1017.94,1021.908,144,368.032,512.969,1531.773
390,1017.875,1017.47,1013.954,144,364.516,509.484,1526.886
391,1014.438,1016.735,1017.977,145,365.758,513.242,1527.443
392,1018.719,1019.868,1019.989,150,365.879,514.621,1533.222
393,1022.859,1020.934,1023.994,150,368.939,515.811,1538.611
394,1019.93,1021.467,1020.497,145,367.97,516.405,1536.305
395,1009.965,1024.733,1021.249,150,364.485,527.703,1537.653
396,1035.482,1026.367,1030.124,147.5,368.242,539,1557.826
397,1061,1024.183,1020.562,145,364.621,525,1542.913
398,1027.5,1026.092,1026.781,150,365.311,537.5,1543.457
399,1041.75,1024.046,1024.891,150,366.155,550,1558.228
400,1056,1020.523,1017.945,150,363.578,528,1543.114
401,1042,1023.761,1028.473,145,368.289,522.5,1544.057
402,1028,1028.881,1025.236,144,364.644,530.75,1541.529
403,1041.5,1025.44,1026.618,144.5,365.822,539,1554.264
404,1055,1029.22,1026.809,145,363.411,522,1546.632
405,1034,1023.11,1024.905,144,365.206,517,1537.316
406,1031,1025.555,1025.952,145,365.603,514,1538.158
407,1028,1026.278,1026.976,145,366.301,515.5,1538.579
408,1028,1027.139,1027.488,150,366.651,516.25,1541.79
409,1028,1033.069,1030.244,150,363.825,513.625,1545.895
410,1039,1030.535,1032.122,150,365.413,515.312,1545.447
411,1028,1037.267,1038.061,150,366.206,516.156,1553.224
412,1044,1044,1044,150,369.103,516.578,1565.612
413,1061,1056,1061,145,371.052,516.789,1569.306
414,1056,1055,1056,144,369.026,516.895,1562.653
415,1039,1045,1053,150,368.013,516.947,1564.826
416,1050,1050,1050,150,364.506,511.474,1562.913
417,1055,1050,1044,145,365.753,514.237,1562.457
418,1045,1050,1056,150,366.377,512.618,1561.728
419,1050,1044,1044,144,366.688,512.309,1564.364
420,1055,1056,1056,145,369.344,514.655,1565.682
421,1050,1050,1055,145,365.672,510.327,1563.841
422,1056,1055,1045,144,368.836,516.164,1567.921
423,1050,1056,1066,150,370.418,516.082,1569.96
424,1056,1050,1050,144,368.709,513.541,1565.48
425,1050,1050,1045,144,370.355,515.27,1568.74
426,1055,1056,1061,145,368.677,516.135,1567.87
427,1050,1055,1050,150,364.839,513.568,1558.935
428,1039,1044,1044.5,150,365.919,512.284,1554.468
429,1039,1044.5,1041.75,144,363.46,511.642,1552.234
430,1039,1045,1040.375,150,365.23,514.321,1551.117
431,1033,1042,1039.688,150,366.115,529.66,1553.558
432,1055.5,1043,1044.844,147,369.557,545,1574.279
433,1078,1044,1050,144,368.279,531,1595
434,1044,1050,1044,150,367.139,523.5,1586.5
435,1062,1062,1061,150,369.57,520.25,1584.75
436,1066,1061,1067,145,371.285,521.625,1584.375
437,1061,1066,1067,150,374.642,521.812,1589.688
438,1073,1067,1072,144,370.321,518.906,1595
439,1072,1078,1066,150,371.661,520.953,1588
440,1066,1066,1073,150,374.33,523.977,1589
441,1073,1073,1077,150,373.665,527,1600
442,1077,1077,1073,150,375.333,524.5,1600
443,1067,1062,1066,145,370.666,520.25,1589
444,1067,1072,1061,150,374.333,524.125,1594.5
445,1072,1072,1084,150,373.167,528,1600
446,1078,1078,1072,150,370.083,522.5,1600
447,1066,1066,1061,150,368.042,536.25,1594.5
448,1039,1073,1072,150,370.021,550,1589
449,1106,1072,1078,150,368.51,533.5,1628
450,1072,1072,1067,150,370.755,539.25,1589
451,1050,1072,1078,150,368.878,545,1595
452,1100,1078,1072,150,370.439,533.5,1617
453,1067,1067,1072,150,371.719,525.25,1589
454,1061,1055,1056,144,374.86,526.625,1589
455,1061,1067,1072,150,373.43,528,1589
456,1056,1056,1050,150,372.715,525,1586
457,1061,1061,1061,150,372.857,524,1587.5
458,1066,1066,1067,150,375.429,523.5,1589
459,1061,1056,1061,145,379.714,525.75,1586.5
460,1056,1055,1061,144,378.857,528,1587.75
461,1033,1067,1061,144,375.429,556,1589
462,1095,1061,1055,144,376.714,555.5,1611
463,1039,1072,1078,147,377.357,555,1594
464,1111,1084,1084,150,380.179,528,1639
465,1078,1078,1083,150,376.089,533,1611
466,1066,1066,1055,150,377.045,530.5,1588
467,1056,1056,1062,150,374.522,528,1585.5
468,1033,1061,1055,163.5,376.261,550,1598.25
469,1056,1055,1061,156.75,377.131,555,1611
470,1077,1050,1050,150,374.565,528,1605
471,1056,1056,1050,150,373.283,525,1591.5
472,1056,1056,1056,150,369.641,520.5,1578.75
473,1050,1050,1044,150,370.821,521.25,1575.375
474,1050,1050,1056,150,374.41,521.625,1573.688
475,1050,1044,1050,144,373.205,535.812,1575.344
476,1072.5,1061,1055,144,372.603,550,1593.172
477,1095,1061,1061,144,372.301,536,1611
478,1061,1067,1067,150,374.651,529,1602.5
479,1072,1067,1072,145,373.325,539.5,1594
480,1050,1083,1078,147.5,375.163,550,1600
481,1095,1067,1072,150,379.081,527,1622
482,1066,1061,1067,145,381.041,528,1594
483,1061,1061,1061,145,382.52,528,1589
484,1056,1055,1056,144,383.26,528,1583.5
485,1050,1050,1050,144,380.63,528,1577.75
486,1050,1050,1044,144,379.315,528,1572.375
487,1039,1045,1045,150,381.658,528,1575.188
488,1041.5,1044,1050,167,379.329,567,1590.094
489,1044,1045,1036.5,155.5,376.164,561,1605
490,1067,1034,1034.75,144,379.582,547,1577.5
491,1022,1022.5,1014.375,150,372.791,533,1552.25
492,1017,1016.75,1015.688,166.5,372.396,550,1559.625
493,1025,1010.875,1021.844,160.75,383.698,555,1571.312
494,1033,997.438,1010.922,155,395,550,1560.656
495,966.5,993.219,896.961,145,300,556,1449.828
496,952.75,988.109,1015.48,211.5,328,595,1511.414
