measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
PE,0.9802299376719927,0.9662625308928561,0.0029821827206949632,4.6836187072674464,4.6836187072674464,static_transform_control,static_square,15,4000
S_theta,0.6962344667173028,0.6658823241213319,0.01060369473277351,2.862411957424583,2.862411957424583,static_transform_control,static_square,15,4000
gamma_R,0.10457752527922082,0.14859381254945705,0.008520761618365123,-5.165769122723285,5.165769122723285,static_transform_control,static_square,15,4000
PE,0.9452717684019645,0.9422383424423573,0.0032568107689939963,0.9314099512586074,0.9314099512586074,static_transform_control,static_exp,15,4000
S_theta,0.6459005700360027,0.6426347942204571,0.009106574544791956,0.3586173702836751,0.3586173702836751,static_transform_control,static_exp,15,4000
gamma_R,0.2574080915486521,0.2785530819596417,0.00763381269587914,-2.7699121334748003,2.7699121334748003,static_transform_control,static_exp,15,4000
PE,0.9452717684019645,0.9495401771578582,0.002658677351755884,-1.6054632402366278,1.6054632402366278,static_transform_control,static_tanh,15,4000
S_theta,0.7003104819014194,0.7094036899834191,0.007032785529183606,-1.2929738926725416,1.2929738926725416,static_transform_control,static_tanh,15,4000
gamma_R,0.2574080915486521,0.25554022881939814,0.001288952812850084,1.4491319702571464,1.4491319702571464,static_transform_control,static_tanh,15,4000
PE,0.9455228625792444,0.9470779707554126,0.0021156435609735267,-0.7350520687201745,0.7350520687201745,static_transform_control,linear_AR1_original,16,4000
S_theta,0.7215660814776457,0.716666682748754,0.007583281336051459,0.646078987680383,0.646078987680383,static_transform_control,linear_AR1_original,16,4000
gamma_R,0.2671337775417101,0.2605090998817298,0.004165034577445999,1.5905456573766348,1.5905456573766348,static_transform_control,linear_AR1_original,16,4000
PE,0.978469869906964,0.9699594883182467,0.002726559504592023,3.121289513170087,3.121289513170087,static_transform_control,static_square,16,4000
S_theta,0.6931140607202881,0.6882120466814671,0.010167884321928557,0.48210757357350575,0.48210757357350575,static_transform_control,static_square,16,4000
gamma_R,0.10963121397961684,0.13090443920376008,0.008252293152676895,-2.5778562189398944,2.5778562189398944,static_transform_control,static_square,16,4000
PE,0.9455228625792444,0.947138949392671,0.0032140209591704732,-0.5028239809125623,0.5028239809125623,static_transform_control,static_exp,16,4000
S_theta,0.656758388004642,0.6636823433821598,0.007788709111816355,-0.8889734201285487,0.8889734201285487,static_transform_control,static_exp,16,4000
gamma_R,0.2671337775417101,0.2577026415635074,0.00690927482653406,1.3649965032486138,1.3649965032486138,static_transform_control,static_exp,16,4000
PE,0.9455228625792444,0.9499820198561872,0.002611430968991671,-1.7075531882294286,1.7075531882294286,static_transform_control,static_tanh,16,4000
