measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
PE,0.9429051522510542,0.9475806991967255,0.0024575849705598383,-1.9024965572629635,1.9024965572629635,static_transform_control,linear_AR1_original,8,4000
S_theta,0.7063198561133492,0.7118096572377651,0.007463477678781121,-0.7355553752138287,0.7355553752138287,static_transform_control,linear_AR1_original,8,4000
gamma_R,0.26035921352035096,0.2633916856871385,0.004481021192650804,-0.6767368500200375,0.6767368500200375,static_transform_control,linear_AR1_original,8,4000
PE,0.975738146686048,0.9648885047871825,0.0032668058656123186,3.321177426878375,3.321177426878375,static_transform_control,static_square,8,4000
S_theta,0.6811656427146275,0.665556279814075,0.008835939735647147,1.7665764330169866,1.7665764330169866,static_transform_control,static_square,8,4000
gamma_R,0.11038086266365144,0.14176558809914305,0.007256653371572306,-4.324958603981309,4.324958603981309,static_transform_control,static_square,8,4000
PE,0.9429051522510542,0.9431128661706256,0.0033962977281418046,-0.06115892545294093,0.06115892545294093,static_transform_control,static_exp,8,4000
S_theta,0.642491221824918,0.6455498538020654,0.009653865322594329,-0.3168297749077606,0.3168297749077606,static_transform_control,static_exp,8,4000
gamma_R,0.26035921352035096,0.27017369805596714,0.008006552277281594,-1.2258065888690375,1.2258065888690375,static_transform_control,static_exp,8,4000
PE,0.9429051522510542,0.9535858368784159,0.0021983105316128017,-4.858587753535336,4.858587753535336,static_transform_control,static_tanh,8,4000
S_theta,0.6976835080222503,0.7096150311148522,0.0067511087919837065,-1.7673427373544126,1.7673427373544126,static_transform_control,static_tanh,8,4000
gamma_R,0.26035921352035096,0.2576347919184932,0.0014113289638746419,1.930394452033476,1.930394452033476,static_transform_control,static_tanh,8,4000
PE,0.9498836540990987,0.9479519580731152,0.0024826012698528355,0.7780935462495914,0.7780935462495914,static_transform_control,linear_AR1_original,9,4000
S_theta,0.712144375303183,0.7181318827622308,0.0072870074613811,-0.8216689074053798,0.8216689074053798,static_transform_control,linear_AR1_original,9,4000
gamma_R,0.26863309679878256,0.262786334212371,0.003727107460491297,1.5687131772800647,1.5687131772800647,static_transform_control,linear_AR1_original,9,4000
PE,0.9773787627067041,0.9662793300334578,0.003113485805522345,3.5649536778229107,3.5649536778229107,static_transform_control,static_square,9,4000
S_theta,0.7009169598433207,0.6811269707729515,0.00838776820376474,2.359386739071633,2.359386739071633,static_transform_control,static_square,9,4000
gamma_R,0.1129948369296444,0.13231058838405685,0.006341974021035265,-3.045700185832571,3.045700185832571,static_transform_control,static_square,9,4000
PE,0.9498836540990987,0.9483662764374519,0.003262266253175055,0.46512992621924154,0.46512992621924154,static_transform_control,static_exp,9,4000
S_theta,0.652337852120219,0.6669392181409216,0.009062805700728337,-1.6111308686149108,1.6111308686149108,static_transform_control,static_exp,9,4000
gamma_R,0.26863309679878256,0.2612980065221078,0.007580501223243844,0.967626026387732,0.967626026387732,static_transform_control,static_exp,9,4000
PE,0.9498836540990987,0.9515957233565553,0.002918833397909811,-0.586559431135266,0.586559431135266,static_transform_control,static_tanh,9,4000
S_theta,0.6914661258384635,0.7104489967929317,0.007457038761020357,-2.5456312569670505,2.5456312569670505,static_transform_control,static_tanh,9,4000
gamma_R,0.26863309679878256,0.2669525302388053,0.0013573368154557966,1.238135251944038,1.238135251944038,static_transform_control,static_tanh,9,4000
PE,0.9417489142021513,0.9457581838563758,0.002369802544041896,-1.6918159128086219,1.6918159128086219,static_transform_control,linear_AR1_original,10,4000
S_theta,0.7132055236278954,0.718364197446721,0.007892848186672916,-0.6535883747942914,0.6535883747942914,static_transform_control,linear_AR1_original,10,4000
gamma_R,0.25665971469719917,0.2521288818833308,0.004643056615526781,0.9758297580772225,0.9758297580772225,static_transform_control,linear_AR1_original,10,4000
PE,0.9782445388786313,0.9720331550817236,0.0026872536592885393,2.3114244445952874,2.3114244445952874,static_transform_control,static_square,10,4000
S_theta,0.6860393118471763,0.6940648057109969,0.008546961259100285,-0.9389879771919661,0.9389879771919661,static_transform_control,static_square,10,4000
gamma_R,0.09836127751405743,0.11625303788272506,0.006796307223270257,-2.6325708625129587,2.6325708625129587,static_transform_control,static_square,10,4000
PE,0.9417489142021513,0.9446100318748976,0.0035652414835570957,-0.8025031925443759,0.8025031925443759,static_transform_control,static_exp,10,4000
S_theta,0.6478075564140428,0.6610809760820205,0.008716340564209757,-1.5228202214218085,1.5228202214218085,static_transform_control,static_exp,10,4000
gamma_R,0.25665971469719917,0.2531666713339664,0.008401456509332062,0.41576640423631217,0.41576640423631217,static_transform_control,static_exp,10,4000
PE,0.9417489142021513,0.948920573674693,0.002557575529004101,-2.8040851154586233,2.8040851154586233,static_transform_control,static_tanh,10,4000
S_theta,0.6990324778078583,0.7076642121283213,0.006879687441934507,-1.2546695461554107,1.2546695461554107,static_transform_control,static_tanh,10,4000
gamma_R,0.25665971469719917,0.25527933941314257,0.0013815130106776825,0.999176463332384,0.999176463332384,static_transform_control,static_tanh,10,4000
PE,0.9455354294494752,0.9421150999399472,0.002711715853779121,1.2613156001434702,1.2613156001434702,static_transform_control,linear_AR1_original,11,4000
S_theta,0.7005463904101477,0.7064994260382141,0.007169834613740147,-0.8302891138741455,0.8302891138741455,static_transform_control,linear_AR1_original,11,4000
gamma_R,0.26122839996633207,0.2585206025466802,0.003998696911060791,0.677169958083556,0.677169958083556,static_transform_control,linear_AR1_original,11,4000
PE,0.9786249799671602,0.9679577992437981,0.0028716696831827863,3.714626645895876,3.714626645895876,static_transform_control,static_square,11,4000
S_theta,0.684111541034643,0.6735194179519014,0.009890315760944094,1.0709590410216099,1.0709590410216099,static_transform_control,static_square,11,4000
gamma_R,0.10112856168675766,0.13236575681495177,0.0076553751095297,-4.080426456086897,4.080426456086897,static_transform_control,static_square,11,4000
