measure,obs,mu_null,sigma_null,Z,absZ,experiment,lambda,rep,N
PE,0.9520637267294662,0.9533560619157094,0.0024128322136347424,-0.5356092226141472,0.5356092226141472,nonlinear_ar1_sweep,0.3,0,4000
S_theta,0.7420748230006069,0.7486838651375447,0.006404260312655717,-1.0319758745404852,1.0319758745404852,nonlinear_ar1_sweep,0.3,0,4000
gamma_R,0.22769843811816826,0.20510635702954727,0.003901357169613762,5.790826142395371,5.790826142395371,nonlinear_ar1_sweep,0.3,0,4000
PE,0.956100939082508,0.9555169563089314,0.0021628214637491646,0.2700096995358643,0.2700096995358643,nonlinear_ar1_sweep,0.3,1,4000
S_theta,0.7436957990171431,0.7546208517547295,0.006783601512956343,-1.61050921353798,1.61050921353798,nonlinear_ar1_sweep,0.3,1,4000
gamma_R,0.23502618515284435,0.205918751608744,0.0032533374336004357,8.946945755911779,8.946945755911779,nonlinear_ar1_sweep,0.3,1,4000
PE,0.9542501209347939,0.9591905969511504,0.0018859683873042679,-2.6195964097883047,2.6195964097883047,nonlinear_ar1_sweep,0.3,2,4000
S_theta,0.750830817303809,0.7561957384433221,0.005777161239918639,-0.9286431374708699,0.9286431374708699,nonlinear_ar1_sweep,0.3,2,4000
gamma_R,0.2368836886481973,0.20708659070117594,0.0035005605574019824,8.512093265752826,8.512093265752826,nonlinear_ar1_sweep,0.3,2,4000
PE,0.9618453913151582,0.9588712262783384,0.002088098219681424,1.4243415414019935,1.4243415414019935,nonlinear_ar1_sweep,0.3,3,4000
S_theta,0.7418127540385412,0.7519833931977417,0.005876274790721004,-1.7307970647084998,1.7307970647084998,nonlinear_ar1_sweep,0.3,3,4000
gamma_R,0.22210936013904647,0.199342616028766,0.0034552720352195787,6.588987459806094,6.588987459806094,nonlinear_ar1_sweep,0.3,3,4000
PE,0.9581475408339627,0.9592683895103477,0.002025789254236358,-0.5532898716098043,0.5532898716098043,nonlinear_ar1_sweep,0.3,4,4000
S_theta,0.741108938633803,0.7552683509580853,0.006840559142416101,-2.0699203134557167,2.0699203134557167,nonlinear_ar1_sweep,0.3,4,4000
gamma_R,0.23295169262006532,0.20227747742098207,0.0039301785460339085,7.804789232804134,7.804789232804134,nonlinear_ar1_sweep,0.3,4,4000
PE,0.9545211935082987,0.9573874036381531,0.0021178041361379525,-1.3533877288016296,1.3533877288016296,nonlinear_ar1_sweep,0.3,5,4000
S_theta,0.7605727717168335,0.7497226409713379,0.0071500468908827775,1.5174908516097803,1.5174908516097803,nonlinear_ar1_sweep,0.3,5,4000
gamma_R,0.22479086214912802,0.20195740824915343,0.004261912383423951,5.3575606079519105,5.3575606079519105,nonlinear_ar1_sweep,0.3,5,4000
PE,0.9531677120776229,0.9537617498800741,0.0022216215531122505,-0.2673892867212606,0.2673892867212606,nonlinear_ar1_sweep,0.3,6,4000
S_theta,0.7592791922685909,0.7413411779067707,0.007797991592685974,2.300337740636309,2.300337740636309,nonlinear_ar1_sweep,0.3,6,4000
gamma_R,0.22171194177014042,0.20328766115510216,0.004582902491765329,4.020220951273446,4.020220951273446,nonlinear_ar1_sweep,0.3,6,4000
PE,0.9589961263241427,0.9605833859706755,0.0019412069871502637,-0.8176663576010348,0.8176663576010348,nonlinear_ar1_sweep,0.3,7,4000
S_theta,0.7498044284047993,0.753025701756007,0.006864592796238159,-0.4692592039797287,0.4692592039797287,nonlinear_ar1_sweep,0.3,7,4000
gamma_R,0.22151242456085996,0.1974999123104436,0.003643854988938742,6.589864943393347,6.589864943393347,nonlinear_ar1_sweep,0.3,7,4000
PE,0.9556975964310005,0.9572025580522211,0.001903977473754199,-0.790430371139407,0.790430371139407,nonlinear_ar1_sweep,0.3,8,4000
S_theta,0.7413869397390245,0.7483517529239003,0.006152332666258917,-1.132060563479085,1.132060563479085,nonlinear_ar1_sweep,0.3,8,4000
gamma_R,0.22491384151991067,0.20406328206148885,0.003960679314089962,5.264389718260392,5.264389718260392,nonlinear_ar1_sweep,0.3,8,4000
PE,0.9575132034538644,0.9581669422914101,0.0019488065591903643,-0.3354559920084174,0.3354559920084174,nonlinear_ar1_sweep,0.3,9,4000
S_theta,0.7624162063675216,0.7526265876792324,0.007135534887215893,1.371953027071369,1.371953027071369,nonlinear_ar1_sweep,0.3,9,4000
gamma_R,0.23060679766605163,0.2088961727964605,0.004108470687271614,5.284356764879075,5.284356764879075,nonlinear_ar1_sweep,0.3,9,4000
PE,0.9536005759760727,0.9555860346248544,0.00209343656114723,-0.9484207382398913,0.9484207382398913,nonlinear_ar1_sweep,0.3,10,4000
S_theta,0.7251988431923891,0.7459621819054721,0.007043501432893515,-2.9478717241565593,2.9478717241565593,nonlinear_ar1_sweep,0.3,10,4000
gamma_R,0.22873857347674253,0.20435398692576123,0.0034343746262091514,7.100153362679863,7.100153362679863,nonlinear_ar1_sweep,0.3,10,4000
