representacion,shuffle,m,mPE_null
alturas_MIDI,61,2,0.9469878215884446
alturas_MIDI,61,3,2.296986887227901
alturas_MIDI,61,4,3.8162770974871614
alturas_MIDI,61,5,4.998198298922675
alturas_MIDI,61,6,5.4825973354715405
alturas_MIDI,61,7,5.585814240357424
alturas_MIDI,62,2,0.9912870186148095
alturas_MIDI,62,3,2.336603807556277
alturas_MIDI,62,4,3.8304128306869822
alturas_MIDI,62,5,4.942173120664947
alturas_MIDI,62,6,5.456147811769783
alturas_MIDI,62,7,5.570296019897126
alturas_MIDI,63,2,0.9867499906988404
alturas_MIDI,63,3,2.364148998841592
alturas_MIDI,63,4,3.868752388144436
alturas_MIDI,63,5,4.983581895306198
alturas_MIDI,63,6,5.423024258686042
alturas_MIDI,63,7,5.552825380989946
alturas_MIDI,64,2,0.8970400528614412
alturas_MIDI,64,3,2.2116869961998895
alturas_MIDI,64,4,3.7084725345565768
alturas_MIDI,64,5,4.896768339112281
alturas_MIDI,64,6,5.42328158756724
alturas_MIDI,64,7,5.570296019897126
alturas_MIDI,65,2,0.9041774370576334
alturas_MIDI,65,3,2.2925163583485206
alturas_MIDI,65,4,3.853649519402616
alturas_MIDI,65,5,4.999754293419112
alturas_MIDI,65,6,5.517408720059826
alturas_MIDI,65,7,5.5909869805108565
alturas_MIDI,66,2,0.9236593312383704
alturas_MIDI,66,3,2.3172429063545943
alturas_MIDI,66,4,3.8757130108696867
alturas_MIDI,66,5,5.049160572928128
alturas_MIDI,66,6,5.454884621905133
alturas_MIDI,66,7,5.549605059283396
alturas_MIDI,67,2,0.9171300311043885
alturas_MIDI,67,3,2.268089540966135
alturas_MIDI,67,4,3.7544441263890445
alturas_MIDI,67,5,4.895963308627616
alturas_MIDI,67,6,5.37148915232471
alturas_MIDI,67,7,5.528914098669666
alturas_MIDI,68,2,0.9809740244807796
alturas_MIDI,68,3,2.3393463016650347
alturas_MIDI,68,4,3.8384111007147617
alturas_MIDI,68,5,5.025998433563688
alturas_MIDI,68,6,5.4980578673799405
alturas_MIDI,68,7,5.580641500203991
alturas_MIDI,69,2,0.910552318229374
alturas_MIDI,69,3,2.234445736927299
alturas_MIDI,69,4,3.7490451459090317
alturas_MIDI,69,5,4.910913098407723
alturas_MIDI,69,6,5.400141165293408
alturas_MIDI,69,7,5.544432319129964
alturas_MIDI,70,2,0.9730505120811245
alturas_MIDI,70,3,2.3553322608528666
alturas_MIDI,70,4,3.868665146024253
alturas_MIDI,70,5,4.953332355882633
alturas_MIDI,70,6,5.449731111268999
alturas_MIDI,70,7,5.559950539590261
alturas_MIDI,71,2,0.9218998120670068
alturas_MIDI,71,3,2.2721376970337053
alturas_MIDI,71,4,3.7219950589851445
alturas_MIDI,71,5,4.966909417947849
alturas_MIDI,71,6,5.5000030277656835
alturas_MIDI,71,7,5.585814240357424
alturas_MIDI,72,2,0.9415586281197456
alturas_MIDI,72,3,2.2789040232170747
alturas_MIDI,72,4,3.7766878510769657
alturas_MIDI,72,5,4.894871914118959
alturas_MIDI,72,6,5.385943823249657
alturas_MIDI,72,7,5.554777799436829
alturas_MIDI,73,2,0.8756362878582081
alturas_MIDI,73,3,2.20927920001111
alturas_MIDI,73,4,3.7165331054200994
alturas_MIDI,73,5,4.899028986068355
alturas_MIDI,73,6,5.379851013211234
alturas_MIDI,73,7,5.544432319129963
alturas_MIDI,74,2,0.9174803248092938
alturas_MIDI,74,3,2.2502310440468944
alturas_MIDI,74,4,3.83859257476582
alturas_MIDI,74,5,5.016749461645517
alturas_MIDI,74,6,5.4683999934277905
alturas_MIDI,74,7,5.580641500203991
alturas_MIDI,75,2,0.9457958387392421
alturas_MIDI,75,3,2.308146202651775
alturas_MIDI,75,4,3.82274420335973
alturas_MIDI,75,5,4.971947114444836
alturas_MIDI,75,6,5.496794677515291
alturas_MIDI,75,7,5.580641500203991
alturas_MIDI,76,2,0.9174803248092938
alturas_MIDI,76,3,2.2262692163150803
alturas_MIDI,76,4,3.6914841053134633
alturas_MIDI,76,5,4.903907033816791
alturas_MIDI,76,6,5.442375111365926
alturas_MIDI,76,7,5.557998121143379
alturas_MIDI,77,2,0.9580398875013671
alturas_MIDI,77,3,2.2987290946602736
alturas_MIDI,77,4,3.808651445679011
alturas_MIDI,77,5,4.979705983130167
alturas_MIDI,77,6,5.4529394615193905
alturas_MIDI,77,7,5.568343601450244
alturas_MIDI,78,2,0.9043511881255929
alturas_MIDI,78,3,2.2850905778895068
alturas_MIDI,78,4,3.747574834331786
alturas_MIDI,78,5,4.898383604332246
alturas_MIDI,78,6,5.429117068724466
alturas_MIDI,78,7,5.55995053959026
alturas_MIDI,79,2,0.9494350408866098
alturas_MIDI,79,3,2.281952729039209
alturas_MIDI,79,4,3.771729812420449
alturas_MIDI,79,5,4.942940547176471
alturas_MIDI,79,6,5.427853878859816
alturas_MIDI,79,7,5.5702960198971265
alturas_MIDI,80,2,0.9672279926902551
