label,SBP
549.0000000000,0.8054307135
550.0000000000,0.8182999144
551.0000000000,0.8143081725
555.0000000000,0.8089145483
556.0000000000,0.8293092564
557.0000000000,0.8204324802
558.0000000000,0.7998455574
559.0000000000,0.8036529004
560.0000000000,0.8128788868
561.0000000000,0.8059070535
562.0000000000,0.8205037614
563.0000000000,0.8274092437
564.0000000000,0.8275512291
565.0000000000,0.8156223045
566.0000000000,0.8082932405
567.0000000000,0.8217813806
568.0000000000,0.8191748853
570.0000000000,0.8263958777
571.0000000000,0.8210222248
572.0000000000,0.8228575290
573.0000000000,0.7834650054
574.0000000000,0.8074382390
575.0000000000,0.8177747115
576.0000000000,0.8118911035
577.0000000000,0.7955538186
578.0000000000,0.7312781887
581.0000000000,0.8106325727
582.0000000000,0.8209528304
583.0000000000,0.7882794069
584.0000000000,0.8243974490
585.0000000000,0.6350550238
586.0000000000,0.8355208232
587.0000000000,0.8268452028
588.0000000000,0.8138342116
589.0000000000,0.7979620015
590.0000000000,0.8223904869
591.0000000000,0.8172869760
592.0000000000,0.8222555706
593.0000000000,0.8167708358
594.0000000000,0.7685339221
597.0000000000,0.8206008408
598.0000000000,0.8426533987
601.0000000000,0.8070350027
602.0000000000,0.7674308718
