piece,measure,obs,iaaft_mu,iaaft_sigma,iaaft_z,shuffle_mu,shuffle_sigma,shuffle_z
17,mPE_m5_tau1,0.9309013034470841,0.9020904813920754,0.009506147488277696,-3.030756896054494,0.8230087521041735,0.01029581696431129,-10.479260821836863
17,gamma_rank_max5_mu2,0.25034636982891,0.1935556320252811,0.004825947594325987,-11.767789992249297,-0.00024162702903134158,0.0037554839514788137,-66.72588675535845
17,H_orbit_m3,0.8638526705141768,0.9625962847164509,0.004704579794341952,20.988827593280458,0.9586923706699245,0.005317965741697518,17.833830596560873
17,S_eff_tau1,0.678362690911484,0.8104050548988668,0.014904434321564124,8.8592670569416,0.8185726410528009,0.013676575513509663,10.251831681316576
18,mPE_m5_tau1,0.903028740645023,0.9008441490572328,0.0038493849692017613,-0.5675170462992919,0.838954503294528,0.0043301159187504636,-14.797349205603906
18,gamma_rank_max5_mu2,0.159091611122956,0.1350879118208427,0.0007179992226876049,-33.43137226843084,4.2771168674393125e-05,0.0015197423377073097,-104.65513528709307
18,H_orbit_m3,0.9157523875584026,0.9578735367604055,0.002199405545708519,19.15115167559241,0.9568516231806969,0.002111418896642929,19.465221083149565
18,S_eff_tau1,0.7010390361288386,0.7880568456816833,0.005962587446524502,14.593967859300088,0.8283411193121705,0.005553503979278845,22.922840004854528
19,mPE_m5_tau1,0.8464563867888657,0.8995200634080491,0.006482898719259381,8.185177482650158,0.833101331879858,0.007757351464074478,-1.7215998231944307
19,gamma_rank_max5_mu2,0.22574161940901072,0.18634798282293114,0.0015053730330046252,-26.168687576030564,-6.496613747963842e-06,0.0032883520909332627,-68.65083475860075
19,H_orbit_m3,0.9245163049627256,0.9588883170308243,0.003814560924024903,9.010738785587765,0.9573920701631796,0.004137397645815025,7.946000847587808
19,S_eff_tau1,0.6640964806768215,0.7775458182477117,0.010271866032612839,11.044666783103706,0.8199530298363717,0.010096306927835546,15.43698604584349
20,mPE_m5_tau1,0.9039435568718083,0.931373803946567,0.005835469390822234,4.700606795727484,0.8447736386371664,0.008136533120189563,-7.272128971959913
20,gamma_rank_max5_mu2,0.1855516590750783,0.17159994342691604,0.0011911471710866805,-11.712839510363915,6.322491134958067e-05,0.0029631939056586625,-62.59746748584721
20,H_orbit_m3,0.799298441554872,0.9517564808114553,0.004140856158748122,36.81799932472779,0.9493511561721935,0.004494185586076826,33.38818830316911
20,S_eff_tau1,0.654220712533195,0.7075694326094276,0.013057218176919221,4.0857646210228165,0.8244656662274314,0.011025495497644167,15.44102518844735
21,mPE_m5_tau1,0.9115555853373329,0.8948172616796368,0.005525096792569725,-3.0295077690233763,0.8233838541519983,0.006002484382831028,-14.68920626224921
21,gamma_rank_max5_mu2,0.11496739509156662,0.1037055076337847,0.001373339379959431,-8.200367383417348,-0.00010862170310552144,0.0017501896309627485,-65.7505991115779
21,H_orbit_m3,0.8567803419856951,0.9592874256455253,0.0028948521025388848,35.410128057985396,0.9565990294724448,0.0029692397684190712,33.61759078819584
21,S_eff_tau1,0.6932621831004454,0.7744699867232806,0.009075509601875252,8.948015834400683,0.8209331417461821,0.007868486850437057,16.225604880898445
22,mPE_m5_tau1,0.942272727455305,0.9179455663701565,0.0053051481179200175,-4.585576226038804,0.8087674955399174,0.005298307495548191,-25.197713048471222
22,gamma_rank_max5_mu2,0.24840129145311884,0.2389287141200547,0.004081559869201592,-2.3208228316193007,5.944206924047087e-05,0.0023252838235074754,-106.80066100889039
22,H_orbit_m3,0.8750264127253791,0.9671745669974545,0.0023915467175704627,38.53077742327669,0.9592981862230249,0.002693315352525978,31.289233701731174
22,S_eff_tau1,0.6502879122561999,0.7357072285677208,0.013841159918774819,6.17139869872134,0.8398807763502133,0.006492443256625143,29.202082575083807
23,mPE_m5_tau1,0.9294327484895922,0.9399818255819812,0.008016252405558746,1.3159611946692016,0.84299429567534,0.011809165603729998,-7.3196071352365575
23,gamma_rank_max5_mu2,0.31067463922961214,0.2645193636742373,0.004671832088853687,-9.87948082840876,-0.00022632762642671426,0.006031549898729869,-51.545783766376324
23,H_orbit_m3,0.9321708055418851,0.9663560577732456,0.00505481357931468,6.7629105791860376,0.9595927570972128,0.005970679785619478,4.592768753295744
23,S_eff_tau1,0.6007522295815105,0.653451245543187,0.018797477847675253,2.803515258202256,0.8018779796032559,0.016404169168606642,12.260648372649577
